market,asin,parent,name,rev30,units30,price
FR,B0CQN1RXYB,,Ceramic Glass Coat Protectant,119.6,8,14.95
FR,B0DKVZRX69,,Rapid Ceramic Interior Detailer,109.27,8,13.95
FR,B0FYRJ1966,,Rapid Ceramic Plastic Restorer,75.8,4,18.95
FR,B0DVB4P9KQ,,High Foam Vehicle Shampoo,50.85,3,16.95
FR,B0FW6WFX4D,,Rapid Ceramic Wheel Sealant,36.57,2,19.95
IT,B084RQKLV8,,Ceramic Headlight Restoration Kit,5824.69,255,22.95
IT,B0B94G13CN,B0C8CFXPM8,Rapid Ceramic Paint Sealant,1346.39,59,22.95
IT,B07SHJVK4G,,Ceramic Trim Coat Kit,614.6,28,21.95
IT,B0CQN1RXYB,,Ceramic Glass Coat Protectant,167.4,12,13.95
IT,B0FYRJ1966,,Rapid Ceramic Plastic Restorer,158.56,9,17.95
IT,B0F45C2YHV,,Rapid Ceramic Tire Coat,71.8,4,17.95
IT,B0DJMW6283,,"Microfiber Towels, 12pk",51.8,4,12.95
IT,B0DVB4P9KQ,,High Foam Vehicle Shampoo,50.85,3,16.95
IT,B0DKVZRX69,,Rapid Ceramic Interior Detailer,49.64,4,12.95
IT,B0FW6WFX4D,,Rapid Ceramic Wheel Sealant,18.95,1,18.95
ES,B084RQKLV8,,Ceramic Headlight Restoration Kit,10452.57,477,21.95
ES,B07SHJVK4G,B07SXR64X2,Ceramic Trim Coat Kit,1838.34,93,19.95
ES,B0B94G13CN,B0C8CFN87Q,Rapid Ceramic Paint Sealant,1306.22,57,22.95
ES,B0F45C2YHV,,Rapid Ceramic Tire Coat,841.81,50,16.95
ES,B0FYRJ1966,,Rapid Ceramic Plastic Restorer,389.79,22,17.95
ES,B0CQN1RXYB,,Ceramic Glass Coat Protectant,164.45,13,12.95
ES,B0FW6WFX4D,,Rapid Ceramic Wheel Sealant,53.85,3,17.95
ES,B0DKVZRX69,,Rapid Ceramic Interior Detailer,52.02,4,12.95
ES,B0DJMW6283,,"Microfiber Towels, 12pk",24.1,2,11.95
ES,B0DVB4P9KQ,,High Foam Vehicle Shampoo,16.21,1,15.95
NL,B084RQKLV8,,Ceramic Headlight Restoration Kit,4986.1,238,20.95
NL,B07SHJVK4G,,Ceramic Trim Coat Kit,1835.4,92,19.95
NL,B0F45C2YHV,,Rapid Ceramic Tire Coat,406.8,24,16.95
NL,B0FYRJ1966,,Rapid Ceramic Plastic Restorer,220.35,13,16.95
NL,B0CQN1RXYB,,Ceramic Glass Coat Protectant,220.15,17,12.95
NL,B0B94G13CN,B0F2MYMWBH,Rapid Ceramic Paint Sealant,125.7,6,20.95
NL,B0DKVZRX69,,Rapid Ceramic Interior Detailer,90.65,7,12.95
NL,B0DJMW6283,,"Microfiber Towels, 12pk",23.9,2,11.95
NL,B0FW6WFX4D,,Rapid Ceramic Wheel Sealant,17.95,1,17.95
AU,B084RQKLV8,B08CDXP2ZQ,Ceramic Headlight Restoration Kit,42502.25,1251,33.95
AU,B07SHJVK4G,B0819BGBSV,Ceramic Trim Coat Kit,11466.6,348,32.95
AU,B0F45C2YHV,,Rapid Ceramic Tire Coat,3326.05,119,27.95
AU,B0B94G13CN,,Rapid Ceramic Paint Sealant,2310.14,68,33.95
AU,B0FYRJ1966,,Rapid Ceramic Plastic Restorer,2068.3,74,27.95
AU,B0CQN1RXYB,,Ceramic Glass Coat Protectant,1229.2,56,21.95
AU,B0DKVZRX69,,Rapid Ceramic Interior Detailer,768.25,35,21.95
AU,B0FW6WFX4D,,Rapid Ceramic Wheel Sealant,509.15,17,29.95
AU,B0DVB4P9KQ,,High Foam Vehicle Shampoo,503.1,18,27.95
AU,B0DJMW6283,,"Microfiber Towels, 12pk",377.1,18,20.95
AU,B0CN8HJSYM,,"Pro Ceramic Coating, 60ml",359.9,2,179.95
